target,vp,vp_lat,vp_lon,radius,pop_iata,pop_lat,pop_lon
34.8.10.100,se-sto-manycast,59.38122,17.90033,98.61594013157895,ARN,59.6519012451,17.9186000824
34.8.10.100,nl-ams-manycast,52.378502,4.89998,134.11767857894736,AMX,52.3086013794,4.7638897896
34.8.10.100,fr-cdg-manycast,48.916544,2.384315,135.10383798026317,PAR,49.0127983093,2.5499999523
34.8.10.100,gb-lhr-manycast,51.50853,-0.12574,146.93775079605263,BQH,51.3307991028,0.0324999988
35.201.127.0,fr-cdg-manycast,48.916544,2.384315,47.33565126315789,PAR,49.0127983093,2.5499999523
35.201.127.0,gb-lhr-manycast,51.50853,-0.12574,145.95159139473682,BQH,51.3307991028,0.0324999988
34.54.133.0,fr-cdg-manycast,48.916544,2.384315,49.307970065789476,PAR,49.0127983093,2.5499999523
34.54.133.0,pl-waw-manycast,52.22977,21.01178,66.0726798881579,WAW,52.1656990051,20.9671001434
34.54.133.0,nl-ams-manycast,52.378502,4.89998,85.79586791447369,AMX,52.3086013794,4.7638897896
34.54.133.0,gb-lhr-manycast,51.50853,-0.12574,180.46717044078946,BQH,51.3307991028,0.0324999988
34.54.133.0,se-sto-manycast,59.38122,17.90033,185.3979674473684,ARN,59.6519012451,17.9186000824
34.54.133.0,gb-man-manycast,55.71667,-2.26667,463.494918618421,LTN,51.8746986389,-0.3683330119
35.186.211.0,fr-cdg-manycast,48.916544,2.384315,52.26644826973685,PAR,49.0127983093,2.5499999523
35.186.211.0,pl-waw-manycast,52.22977,21.01178,61.141882881578944,WAW,52.1656990051,20.9671001434
35.186.211.0,gb-lhr-manycast,51.50853,-0.12574,71.98963629605262,BQH,51.3307991028,0.0324999988
35.186.211.0,gb-man-manycast,55.71667,-2.26667,468.425715625,LTN,51.8746986389,-0.3683330119
35.201.97.0,fr-cdg-manycast,48.916544,2.384315,45.363332460526316,PAR,49.0127983093,2.5499999523
35.201.97.0,nl-ams-manycast,52.378502,4.89998,98.61594013157895,AMX,52.3086013794,4.7638897896
35.201.97.0,gb-lhr-manycast,51.50853,-0.12574,142.99311319078944,BQH,51.3307991028,0.0324999988
35.201.97.0,pl-waw-manycast,52.22977,21.01178,187.37028625,WAW,52.1656990051,20.9671001434
35.71.220.0,fr-cdg-manycast,48.916544,2.384315,61.141882881578944,PAR,49.0127983093,2.5499999523
35.71.220.0,gb-lhr-manycast,51.50853,-0.12574,199.20419906578945,BQH,51.3307991028,0.0324999988
35.241.21.0,fr-cdg-manycast,48.916544,2.384315,31.557100842105267,PAR,49.0127983093,2.5499999523
35.241.21.0,pl-waw-manycast,52.22977,21.01178,55.22492647368422,WAW,52.1656990051,20.9671001434
35.241.21.0,nl-ams-manycast,52.378502,4.89998,88.75434611842105,AMX,52.3086013794,4.7638897896
35.241.21.0,gb-lhr-manycast,51.50853,-0.12574,90.72666492105263,BQH,51.3307991028,0.0324999988
35.241.21.0,gb-man-manycast,55.71667,-2.26667,431.9378177763158,DUB,53.4212989807,-6.270070076
35.244.169.0,pl-waw-manycast,52.22977,21.01178,53.25260767105263,WAW,52.1656990051,20.9671001434
35.244.169.0,fr-cdg-manycast,48.916544,2.384315,61.141882881578944,PAR,49.0127983093,2.5499999523
